region,district,nom
Nord,Bibemi,CSI Adoumri
Nord,Bibemi,CSI Haoussari-Adoumri
Nord,Bibemi,CSI Ouro-Kéou
Nord,Bibemi,HD de Bibemi
Nord,Bibemi,Centre de Sante Mariana
Nord,Bibemi,CSI de Bibemi
Nord,Bibemi,CSI de Lombo
Nord,Bibemi,CSI de Bide
Nord,Bibemi,CSI de Dengui
Nord,Bibemi,CSI Douloumi
Nord,Bibemi,CSI de Djaloumi
Nord,Bibemi,CSI de Kakou
Nord,Bibemi,CSI de Houla
Nord,Bibemi,CSI de Lam
Nord,Bibemi,CSI mandjola
Nord,Bibemi,CSI de Mayo Lope
Nord,Bibemi,CSI de Famou
Nord,Bibemi,CSI de Mbella
Nord,Bibemi,CSI de Ndiam-Badi
Nord,Bibemi,CSI de Hamalade
Nord,Bibemi,CSI de Padarme
Nord,Figuil,CSI de Badadji (PSF)
Nord,Figuil,CSI de Djabe
Nord,Figuil,CSI de Kakala
Nord,Figuil,CSI de Pelgue
Nord,Figuil,CSI de Batao
Nord,Figuil,CSI de Bidzar (PSF)
Nord,Figuil,CSI de Biou
Nord,Figuil,CSI Indjode
Nord,Figuil,CSI de Djougui
Nord,Figuil,HD Figuil
Nord,Figuil,CS l'Amitié
Nord,Figuil,CSI de Figuil
Nord,Figuil,Centre de Sante Catholique Marie Immaculee de Karewa
Nord,Figuil,CSI Bouba-Djara
Nord,Figuil,CMA Lam (Ex CSI)
Nord,Figuil,CS Catholique de Lam
Nord,Figuil,CSI de Kong Kong
Nord,Figuil,CSI Douva Lam
Nord,Garoua 1,CSI de Bangli
Nord,Garoua 1,CSI de Nakong
Nord,Garoua 1,CSI de Tcharatche
Nord,Garoua 1,CSI Malape
Nord,Garoua 1,CSI Ouro Ardo
Nord,Garoua 1,Hopital Notre Dame des Apotres de Djamboutou
Nord,Garoua 1,CMA Djamboutou (Ex CSI)
Nord,Garoua 1,CS Islamique Albiri
Nord,Garoua 1,CSI MAYAMI
Nord,Garoua 1,Hopital Regional de Garoua
Nord,Garoua 1,Centre Medico-Social CNPS
Nord,Garoua 1,CMM 4° BIR
Nord,Garoua 1,Centre de Promotion de la Femme et de la Famille
Nord,Garoua 1,Centre Medical de La Surete Nationale
Nord,Garoua 1,Centre Médical Bethel
Nord,Garoua 1,CSI Base aérienne
Nord,Garoua 1,CSI de Kollere
Nord,Garoua 1,CSI Lamidat
Nord,Garoua 1,CVI Garoua
Nord,Garoua 1,Infirmerie de l'Aéroport de Garoua (PSF)
Nord,Garoua 1,Infirmerie de la SNEC
Nord,Garoua 1,Infirmerie de la Sonel
Nord,Garoua 1,Infirmerie Prison Centrale de Garoua
Nord,Garoua 1,Centre Medical Martin Luther
Nord,Garoua 1,Clinique Djamboutou
Nord,Garoua 1,CSI de Ouro Kanadi
Nord,Garoua 1,Hopital Esperence UEBC
Nord,Garoua 1,CSI de Garoua Windé
Nord,Garoua 1,CSI Ouro-Labo
