code_sage;rayon
ADRENA_2%//_SI_IV;injectables
AIGEPI_UU25G//_//;consommables-medicaux
AIGEPI_UU23G//_//;consommables-medicaux
ALCOET_95%/_CU_1/;papeterie-et-froid
ALUMHY_500/_CP_OR;comprimes
AMOCLA_1125_SP_OR;comprimes
AMOXYC_50//_SP_60;sirops
AMOXIC_500/_GE_OR;comprimes
AMPICI_312/_SI_IV;injectables
ANTITE_1500_AM_IM;papeterie-et-froid
ARTEME_80//_AM_IV;injectables
ATROSU_1///_AM_IV;injectables
BANCRE_10X4///_CU;consommables-medicaux
BANCRE_7.5X4//_CU;consommables-medicaux
PENIGB_2.4M_SI_IM;injectables
PENIG/_5MU/_AM_IV;injectables
BONCHEMISE_CARTE/;consommables-medicaux
CAHBONCOMM_FACTUR;papeterie-et-froid
CAHCAI_///////_//;papeterie-et-froid
CAHDEPENSE_COGE//;papeterie-et-froid
CAHDEPENSE_COMMIS;papeterie-et-froid
CARBOC_2%//_SP_OR;sirops
CARBOC_5%//_SP_OR;sirops
CARNET_PATIENT_//;papeterie-et-froid
CARNET_CONSUL/_//;papeterie-et-froid
CARTCONSUL_CPN///;papeterie-et-froid
CATHET_TCUU24G_//;consommables-medicaux
CATHET_TCUU22G_//;consommables-medicaux
CATHET_TCUU20G_//;consommables-medicaux
CATHET_TCUU18G_//;consommables-medicaux
CEFEAU_285._SI_IV;injectables
CEFTRI_285._SI_IV;injectables
CHLORP_4///_CP_OR;comprimes
CIMETI_200/_SI_IV;injectables
CIPROF_2///_SI_IV;injectables
CIPROF_500/_CP_OR;comprimes
CLABAR_///////_//;consommables-medicaux
CLOXAC_50//_SP_OR;sirops
CLOXAC_500/_GE_OR;comprimes
CLOXAC_200/_SI_IV;injectables
CONMAS_////_//_//;sante-de-reproduction
COTOHY_500////_CU;consommables-medicaux
COTRIM_480/_CP_OR;comprimes
COTRIM_48//_SP_OR;sirops
DEXAME_4///_SI_IV;injectables
DIAZEP_5///_SI_IV;injectables
DICLSO_25//_SI_IV;injectables
DICLSO_50//_CP_OR;comprimes
DIU///_////_IP_VA;sante-de-reproduction
DOXYCY_100/_CP_OR;comprimes
EPPI//_10//_SI_IV;injectables
ERYTHR_500/_CP_OR;comprimes
FERFOL_200/_SP_OR;sirops
FERFOL_66.2_CP_OR;comprimes
FERFOL_120/_SP_OR;sirops
FICSTO_///////_//;papeterie-et-froid
FILSNR_VICR2RO_//;consommables-medicaux
FILSNR_VICR2TR_//;consommables-medicaux
FILSR/_VICR2RO_//;consommables-medicaux
FILSR_VICR1RO_//;consommables-medicaux
FILSR/_VICR1TR_//;consommables-medicaux
FLUCAZ_50//_SP_OR;sirops
FLUCON_200/_CP_OR;comprimes
FUROSE_10//_SI_IV;injectables
GANCHI_7.5UU//_CU;consommables-medicaux
GANEXA_7-8UU//_CU;consommables-medicaux
GANEXA_8-9UU//_CU;consommables-medicaux
GAZHYD_10X10//_CU;consommables-medicaux
GENTAM_80//_SI_IV;injectables
GENTAM_10//_CO_OC;injectables
GLUCOS_5%//_SF_IV;solutes
IBUPAR_220/_SP_OR;sirops
IBUPRO_400/_CP_OR;comprimes
IMPLAN_68//_IP_SC;sante-de-reproduction
JADELL_150/_IP_SC;sante-de-reproduction
KETAMI_50//_AM_IV;injectables
KITACC_///////_//;kits
KITCES_///////_//;kits
LAMBIS_UU23///_//;consommables-medicaux
LACOOB_///////_//;consommables-medicaux
LEETFE_255/_CP_OR;sante-de-reproduction
LEETFU_0.18_CP_OR;sante-de-reproduction
MAGNSU_50%/_AM_IV;sante-de-reproduction
METAMI_500/_SI_IV;injectables
PREDME_20//_SI_IV;injectables
METRON_25//_SP_1I;sirops
METRON_250/_CP_OR;comprimes
METRON_500/_CP_OR;comprimes
METRON_5///_AM_IV;injectables
MICROL_////_CP_OR;sante-de-reproduction
VITAMM_////_SP_10;sirops
NYSTAT_1LU/_SP_10;sirops
NYSTAT_1LU/_SP_30;sirops
OCYTOC_10U/_AM_IM;sante-de-reproduction
OMEPRA_20//_CP_OR;comprimes
OMEPRA_40//_SI_IV;injectables
PARACE_10//_SF_IV;injectables
PARACE_24//_SP_1I;sirops
PARACE_500/_CP_OR;comprimes
PARACE_500/MG_IM/;injectables
PERFUS_////_SF_IV;consommables-medicaux
PENIV/_500/_CP_OR;comprimes
PHLORO_10//_SI_IV;injectables
PHLORO_80//_CP_OR;comprimes
PHYTOM_10//_SI_IV;injectables
POCSAN_450////_//;consommables-medicaux
POCURI_VVNS2L/_//;consommables-medicaux
POLYVI_10%1_SC_CU;injectables
POTACH_10%/_AM_IV;injectables
QUININ_300/_CP_OR;comprimes
QUINDI_300/_AM_IV;injectables
RECOJO_A3/////_//;papeterie-et-froid
RINGER_500-_SF_IV;solutes
SRO///_////_PO_OR;comprimes
SERING_UU10CC/_//;consommables-medicaux
SERING_UU5CC//_//;consommables-medicaux
SEANPO_///////_SC;papeterie-et-froid
SODICH_0.9%_SF_IV;solutes
SODICH_10%/_AM_IV;injectables
SONVES_DB2CH14_//;consommables-medicaux
SONVES_DB2CH18_//;consommables-medicaux
SPAROZ_18X5///_CU;consommables-medicaux
THERMO_MEDCELS_//;consommables-medicaux
TUBTRA_UU/////_//;consommables-medicaux
VITBCP_////_SI_IV;injectables
VITBCP_////_CP_OR;comprimes
