code_sage;nom;prix_unitaire;stock_disponible;
WELLSESK_96PCRPLA;96 Well Semi-Skirted PCR Plate;.000000;.000000;
ABALAM_180/_CP_OR;Abacavir + Lamivudine 120/60 mg;.000000;.000000;
ABALAM_900/_CP_OR;Abacavir + Lamivudine 600/300 mg comp;.000000;.000000;
ABLADO_95//_CP_OR;Abacavir 60mg + Lamivudine 30mg + Dolutégravir 5mg comp;.000000;.000000;
ACCEBOXCHECK_////;Accessories box checklist;.000000;.000000;
LYSIAC_1800_SI_IV;Acétylsalicylate de lysine 1800mg (soit 1 g d'AAS/5ml) injection;419.100000;.000000;
LYSIAC_900/_SI_IV;Acétylsalicylate de lysine 900mg (soit 500mg d'AAS/5ml) injection;324.720000;.000000;
ACISUF_250/_//_//;Acide sulfurique (aq) à 1/4 f/250 ml;.000000;.000000;
ACUPAN_2///_CP_OR;ACUPAN SOL INJ 2ML AFR, B/30;2796.800000;.000000;
ADAPTER/_EUUK////;Adapter EU to UK;.000000;.000000;
ADAPTER/_EUUSA///;Adapter EU to USA;.000000;.000000;
ADRENA_2%//_SI_IV;Adrenaline, 1mg/ml;528.000000;478.000000;
ANTIHUMAAGH_IGGC;AGH Maestria IgG+C3d (4x10ml);.000000;.000000;
AIGUILSERING_21G/;Aiguille à Seringue 21G;.000000;.000000;
AIGEPI_UU19G//_//;Aiguille épicrânienne 19G, Luer, UU. Aigui.:section 1,10 mm  ;37.950000;.000000;
AIGEPI_UU21G//_//;Aiguille épicrânienne 21, Luer, UU. Aigui.:section 0.80 mm ;42.240000;.000000;
AIGEPI_UU25G//_//;Aiguille épicrânienne, Luer, UU. Aigui.:section 0.50 mm 25G, ;42.240000;8151.000000;
AIGEPI_UU23G//_//;Aiguille épicrânienne, Luer, UU. Aigui.:section 0.80 mm 23G, ;46.200000;9344.000000;
AIGHYP_UU21G//_//;Aiguille Hypodermique 21G;.000000;.000000;
AIGHYP_UU23G//_//;Aiguille Hypodermique, Luer, Usage Unique 40 mm 23G * 1.5;12.800000;.000000;
AIGVAC_///////_//;Aiguille Vacutainer;64.000000;.000000;
AIGVAC_UU21G//_//;Aiguille Vacutainer 40x0.8 21Gx1.5;.000000;.000000;
ALBEND_400/_CP_OR;Albendazole 400mg comprimé;198.000000;.000000;
ALBEND_400/_SP_OR;Albendazole 400mg sirop;330.000000;.000000;
ALCOSWAB_30X60M//;Alcohol swabs 30 x 60mm;.000000;.000000;
ALCOET_70%/_CU_1/;Alcool éthylique à 70 % 1L;2041.000000;.000000;
ALCOET_95%/_CU_1/;Alcool éthylique à 95 % 1L;2041.000000;398.000000;
ALERESMS_PRINTER/;Alere SMS printer;.000000;.000000;
ALUMHY_500/_CP_OR;Aluminium Hydroxyde 500 mg, Comprimés;14.520000;59300.000000;
AMIDER_30G/_CR_CU;Amiderm CR T/30G;1600.800000;.000000;
AMLOPE_5///_CP_OR;Amloperin 5MG CP, B/30;6898.850000;.000000;
